observation_id,sheet,genotype,elapsed_hours,length,source_cell,source_row,source_column,split
12L12D:L27,12L12D,Col-0,24,2.211,L27,27,12,train
12L12D:L30,12L12D,Col-0,24,1.743,L30,30,12,train
12L12D:L32,12L12D,Col-0,24,1.574,L32,32,12,train
12L12D:L33,12L12D,Col-0,24,1.724,L33,33,12,train
12L12D:L34,12L12D,Col-0,24,1.747,L34,34,12,train
12L12D:M3,12L12D,hy5,24,5.924,M3,3,13,train
12L12D:M5,12L12D,hy5,24,4.566,M5,5,13,train
12L12D:M6,12L12D,hy5,24,4.375,M6,6,13,train
12L12D:M7,12L12D,hy5,24,6.201,M7,7,13,train
12L12D:M8,12L12D,hy5,24,6.586,M8,8,13,train
12L12D:M12,12L12D,hy5,24,5.498,M12,12,13,train
12L12D:M14,12L12D,hy5,24,4.95,M14,14,13,train
12L12D:M15,12L12D,hy5,24,5.27,M15,15,13,train
12L12D:M16,12L12D,hy5,24,5.308,M16,16,13,train
12L12D:M18,12L12D,hy5,24,5.676,M18,18,13,train
12L12D:M19,12L12D,hy5,24,5.7,M19,19,13,train
12L12D:M20,12L12D,hy5,24,5.362,M20,20,13,train
12L12D:M21,12L12D,hy5,24,5.017,M21,21,13,train
12L12D:M27,12L12D,hy5,24,5.98,M27,27,13,train
12L12D:M28,12L12D,hy5,24,5.071,M28,28,13,train
12L12D:M30,12L12D,hy5,24,6.851,M30,30,13,train
12L12D:M32,12L12D,hy5,24,4.774,M32,32,13,train
12L12D:N3,12L12D,MLB,24,1.443,N3,3,14,train
12L12D:N4,12L12D,MLB,24,1.345,N4,4,14,train
12L12D:N5,12L12D,MLB,24,1.765,N5,5,14,train
12L12D:N8,12L12D,MLB,24,1.583,N8,8,14,train
12L12D:N9,12L12D,MLB,24,1.516,N9,9,14,train
12L12D:N13,12L12D,MLB,24,1.453,N13,13,14,train
12L12D:N14,12L12D,MLB,24,1.421,N14,14,14,train
12L12D:N15,12L12D,MLB,24,1.509,N15,15,14,train
12L12D:N19,12L12D,MLB,24,1.146,N19,19,14,train
12L12D:N22,12L12D,MLB,24,1.9,N22,22,14,train
12L12D:N23,12L12D,MLB,24,1.222,N23,23,14,train
12L12D:N24,12L12D,MLB,24,1.517,N24,24,14,train
12L12D:N25,12L12D,MLB,24,1.925,N25,25,14,train
12L12D:N26,12L12D,MLB,24,1.057,N26,26,14,train
12L12D:N27,12L12D,MLB,24,1.326,N27,27,14,train
12L12D:N29,12L12D,MLB,24,2.345,N29,29,14,train
12L12D:N30,12L12D,MLB,24,1.507,N30,30,14,train
12L12D:N33,12L12D,MLB,24,1.206,N33,33,14,train
12L12D:N34,12L12D,MLB,24,1.719,N34,34,14,train
12L12D:N35,12L12D,MLB,24,1.24,N35,35,14,train
12L12D:N37,12L12D,MLB,24,1.72,N37,37,14,train
12L12D:N39,12L12D,MLB,24,1.607,N39,39,14,train
12L12D:O3,12L12D,EMS57,24,5.67,O3,3,15,train
12L12D:O6,12L12D,EMS57,24,5.962,O6,6,15,train
12L12D:O8,12L12D,EMS57,24,5.099,O8,8,15,train
12L12D:O9,12L12D,EMS57,24,6.208,O9,9,15,train
12L12D:O11,12L12D,EMS57,24,5.236,O11,11,15,train
12L12D:O13,12L12D,EMS57,24,4.585,O13,13,15,train
12L12D:O14,12L12D,EMS57,24,4.064,O14,14,15,train
12L12D:O16,12L12D,EMS57,24,6.82,O16,16,15,train
12L12D:O18,12L12D,EMS57,24,4.293,O18,18,15,train
12L12D:P3,12L12D,phyAB,24,5.848,P3,3,16,train
12L12D:P4,12L12D,phyAB,24,6.208,P4,4,16,train
12L12D:P5,12L12D,phyAB,24,6.509,P5,5,16,train
12L12D:P7,12L12D,phyAB,24,5.814,P7,7,16,train
12L12D:P10,12L12D,phyAB,24,7.157,P10,10,16,train
12L12D:P11,12L12D,phyAB,24,7.141,P11,11,16,train
12L12D:P13,12L12D,phyAB,24,6.512,P13,13,16,train
12L12D:P15,12L12D,phyAB,24,6.283,P15,15,16,train
12L12D:P19,12L12D,phyAB,24,6.404,P19,19,16,train
12L12D:P20,12L12D,phyAB,24,6.449,P20,20,16,train
12L12D:P21,12L12D,phyAB,24,6.655,P21,21,16,train
12L12D:P23,12L12D,phyAB,24,6.563,P23,23,16,train
12L12D:P24,12L12D,phyAB,24,6.264,P24,24,16,train
12L12D:P25,12L12D,phyAB,24,5.933,P25,25,16,train
12L12D:P26,12L12D,phyAB,24,6.177,P26,26,16,train
12L12D:P28,12L12D,phyAB,24,5.487,P28,28,16,train
12L12D:P30,12L12D,phyAB,24,6.067,P30,30,16,train
12L12D:P32,12L12D,phyAB,24,5.982,P32,32,16,train
12L12D:P34,12L12D,phyAB,24,5.082,P34,34,16,train
12L12D:P37,12L12D,phyAB,24,6.418,P37,37,16,train
12L12D:P38,12L12D,phyAB,24,5.74,P38,38,16,train
12L12D:P39,12L12D,phyAB,24,6.125,P39,39,16,train
12L12D:Q6,12L12D,Col-0,36,2.006,Q6,6,17,train
12L12D:Q9,12L12D,Col-0,36,2.194,Q9,9,17,train
12L12D:Q11,12L12D,Col-0,36,2.123,Q11,11,17,train
12L12D:Q12,12L12D,Col-0,36,2.268,Q12,12,17,train
12L12D:Q13,12L12D,Col-0,36,2.355,Q13,13,17,train
12L12D:Q14,12L12D,Col-0,36,2.041,Q14,14,17,train
12L12D:Q15,12L12D,Col-0,36,2.795,Q15,15,17,train
12L12D:Q16,12L12D,Col-0,36,1.76,Q16,16,17,train
12L12D:Q17,12L12D,Col-0,36,2.853,Q17,17,17,train
12L12D:Q23,12L12D,Col-0,36,1.656,Q23,23,17,train
12L12D:Q24,12L12D,Col-0,36,1.715,Q24,24,17,train
12L12D:Q26,12L12D,Col-0,36,2.054,Q26,26,17,train
12L12D:Q27,12L12D,Col-0,36,2.47,Q27,27,17,train
12L12D:R3,12L12D,hy5,36,5.487,R3,3,18,train
12L12D:R5,12L12D,hy5,36,6.671,R5,5,18,train
12L12D:R6,12L12D,hy5,36,6.73,R6,6,18,train
12L12D:R7,12L12D,hy5,36,8.185,R7,7,18,train
12L12D:R8,12L12D,hy5,36,7.364,R8,8,18,train
12L12D:R12,12L12D,hy5,36,7.577,R12,12,18,train
12L12D:R14,12L12D,hy5,36,6.201,R14,14,18,train
12L12D:R15,12L12D,hy5,36,7.152,R15,15,18,train
12L12D:R16,12L12D,hy5,36,5.498,R16,16,18,train
12L12D:R18,12L12D,hy5,36,6.256,R18,18,18,train
12L12D:R19,12L12D,hy5,36,8.05,R19,19,18,train
12L12D:R20,12L12D,hy5,36,6.455,R20,20,18,train
12L12D:R21,12L12D,hy5,36,8.546,R21,21,18,train
12L12D:R27,12L12D,hy5,36,8.396,R27,27,18,train
12L12D:R28,12L12D,hy5,36,8.254,R28,28,18,train
12L12D:S3,12L12D,MLB,36,2.235,S3,3,19,train
12L12D:S4,12L12D,MLB,36,1.954,S4,4,19,train
12L12D:S5,12L12D,MLB,36,1.916,S5,5,19,train
12L12D:S8,12L12D,MLB,36,1.658,S8,8,19,train
12L12D:S9,12L12D,MLB,36,1.637,S9,9,19,train
12L12D:S13,12L12D,MLB,36,1.72,S13,13,19,train
12L12D:S14,12L12D,MLB,36,1.721,S14,14,19,train
12L12D:S15,12L12D,MLB,36,1.643,S15,15,19,train
12L12D:S19,12L12D,MLB,36,1.64,S19,19,19,train
12L12D:S22,12L12D,MLB,36,1.641,S22,22,19,train
12L12D:S23,12L12D,MLB,36,3.593,S23,23,19,train
12L12D:S24,12L12D,MLB,36,3.417,S24,24,19,train
12L12D:S25,12L12D,MLB,36,1.838,S25,25,19,train
12L12D:S26,12L12D,MLB,36,3.077,S26,26,19,train
12L12D:S27,12L12D,MLB,36,1.497,S27,27,19,train
12L12D:S29,12L12D,MLB,36,1.561,S29,29,19,train
12L12D:S30,12L12D,MLB,36,1.434,S30,30,19,train
12L12D:S33,12L12D,MLB,36,1.698,S33,33,19,train
12L12D:S34,12L12D,MLB,36,1.572,S34,34,19,train
12L12D:T3,12L12D,EMS57,36,6.42,T3,3,20,train
12L12D:T6,12L12D,EMS57,36,6.146,T6,6,20,train
12L12D:T8,12L12D,EMS57,36,7.956,T8,8,20,train
12L12D:T9,12L12D,EMS57,36,7.11,T9,9,20,train
12L12D:T11,12L12D,EMS57,36,6.598,T11,11,20,train
12L12D:T13,12L12D,EMS57,36,7.186,T13,13,20,train
12L12D:T16,12L12D,EMS57,36,8.936,T16,16,20,train
12L12D:T18,12L12D,EMS57,36,8.899,T18,18,20,train
12L12D:U3,12L12D,phyAB,36,7.813,U3,3,21,train
12L12D:U4,12L12D,phyAB,36,8.245,U4,4,21,train
12L12D:U5,12L12D,phyAB,36,8.521,U5,5,21,train
12L12D:U7,12L12D,phyAB,36,7.659,U7,7,21,train
12L12D:U10,12L12D,phyAB,36,8.288,U10,10,21,train
12L12D:U11,12L12D,phyAB,36,7.525,U11,11,21,train
12L12D:U13,12L12D,phyAB,36,8.132,U13,13,21,train
12L12D:U15,12L12D,phyAB,36,6.984,U15,15,21,train
12L12D:U19,12L12D,phyAB,36,7.921,U19,19,21,train
12L12D:U20,12L12D,phyAB,36,8.595,U20,20,21,train
12L12D:U21,12L12D,phyAB,36,7.972,U21,21,21,train
12L12D:U23,12L12D,phyAB,36,8.638,U23,23,21,train
12L12D:U24,12L12D,phyAB,36,8.552,U24,24,21,train
12L12D:U25,12L12D,phyAB,36,8.805,U25,25,21,train
12L12D:U26,12L12D,phyAB,36,8.367,U26,26,21,train
12L12D:U28,12L12D,phyAB,36,8.227,U28,28,21,train
12L12D:U30,12L12D,phyAB,36,9.031,U30,30,21,train
12L12D:U32,12L12D,phyAB,36,8.704,U32,32,21,train
12L12D:V6,12L12D,Col-0,48,2.583,V6,6,22,train
12L12D:V9,12L12D,Col-0,48,2.364,V9,9,22,train
12L12D:V10,12L12D,Col-0,48,2.517,V10,10,22,train
12L12D:V11,12L12D,Col-0,48,2.358,V11,11,22,train
12L12D:V12,12L12D,Col-0,48,2.963,V12,12,22,train
12L12D:V13,12L12D,Col-0,48,3.103,V13,13,22,train
12L12D:V14,12L12D,Col-0,48,2.854,V14,14,22,train
12L12D:V15,12L12D,Col-0,48,2.396,V15,15,22,train
12L12D:V16,12L12D,Col-0,48,3.204,V16,16,22,train
12L12D:V17,12L12D,Col-0,48,2.559,V17,17,22,train
12L12D:V23,12L12D,Col-0,48,2.67,V23,23,22,train
12L12D:V24,12L12D,Col-0,48,2.224,V24,24,22,train
12L12D:V26,12L12D,Col-0,48,2.83,V26,26,22,train
12L12D:V30,12L12D,Col-0,48,3.232,V30,30,22,train
12L12D:V32,12L12D,Col-0,48,2.462,V32,32,22,train
12L12D:V33,12L12D,Col-0,48,2.434,V33,33,22,train
12L12D:V34,12L12D,Col-0,48,2.431,V34,34,22,train
12L12D:V37,12L12D,Col-0,48,1.899,V37,37,22,train
12L12D:W3,12L12D,hy5,48,7.285,W3,3,23,train
12L12D:W5,12L12D,hy5,48,9.856,W5,5,23,train
12L12D:W6,12L12D,hy5,48,6.874,W6,6,23,train
12L12D:W7,12L12D,hy5,48,8.548,W7,7,23,train
12L12D:W8,12L12D,hy5,48,7.861,W8,8,23,train
12L12D:W12,12L12D,hy5,48,7.441,W12,12,23,train
12L12D:W14,12L12D,hy5,48,8.196,W14,14,23,train
12L12D:W16,12L12D,hy5,48,8.998,W16,16,23,train
12L12D:W19,12L12D,hy5,48,7.807,W19,19,23,train
12L12D:W20,12L12D,hy5,48,10.561,W20,20,23,train
12L12D:W21,12L12D,hy5,48,7.819,W21,21,23,train
12L12D:W27,12L12D,hy5,48,7.409,W27,27,23,train
12L12D:W28,12L12D,hy5,48,7.386,W28,28,23,train
12L12D:X3,12L12D,MLB,48,1.985,X3,3,24,train
12L12D:X4,12L12D,MLB,48,1.726,X4,4,24,train
12L12D:X5,12L12D,MLB,48,3.059,X5,5,24,train
12L12D:X8,12L12D,MLB,48,1.718,X8,8,24,train
12L12D:X9,12L12D,MLB,48,1.498,X9,9,24,train
12L12D:X13,12L12D,MLB,48,1.669,X13,13,24,train
12L12D:X14,12L12D,MLB,48,1.612,X14,14,24,train
12L12D:X15,12L12D,MLB,48,1.81,X15,15,24,train
12L12D:X19,12L12D,MLB,48,1.497,X19,19,24,train
12L12D:X22,12L12D,MLB,48,1.72,X22,22,24,train
12L12D:X23,12L12D,MLB,48,1.691,X23,23,24,train
12L12D:X24,12L12D,MLB,48,1.425,X24,24,24,train
12L12D:X25,12L12D,MLB,48,1.325,X25,25,24,train
12L12D:X26,12L12D,MLB,48,1.416,X26,26,24,train
12L12D:X27,12L12D,MLB,48,1.565,X27,27,24,train
12L12D:X29,12L12D,MLB,48,2.526,X29,29,24,train
12L12D:X30,12L12D,MLB,48,2.815,X30,30,24,train
12L12D:Y3,12L12D,EMS57,48,9.559,Y3,3,25,train
12L12D:Y6,12L12D,EMS57,48,8.962,Y6,6,25,train
12L12D:Y8,12L12D,EMS57,48,7.326,Y8,8,25,train
12L12D:Y9,12L12D,EMS57,48,7.809,Y9,9,25,train
12L12D:Y11,12L12D,EMS57,48,9.94,Y11,11,25,train
12L12D:Y13,12L12D,EMS57,48,6.421,Y13,13,25,train
12L12D:Y14,12L12D,EMS57,48,8.097,Y14,14,25,train
12L12D:Z3,12L12D,phyAB,48,7.774,Z3,3,26,train
12L12D:Z4,12L12D,phyAB,48,9.945,Z4,4,26,train
12L12D:Z5,12L12D,phyAB,48,9.454,Z5,5,26,train
12L12D:Z7,12L12D,phyAB,48,8.548,Z7,7,26,train
12L12D:Z10,12L12D,phyAB,48,9.961,Z10,10,26,train
12L12D:Z11,12L12D,phyAB,48,9.685,Z11,11,26,train
12L12D:Z13,12L12D,phyAB,48,10.255,Z13,13,26,train
12L12D:Z15,12L12D,phyAB,48,8.388,Z15,15,26,train
12L12D:Z19,12L12D,phyAB,48,10.434,Z19,19,26,train
12L12D:Z20,12L12D,phyAB,48,8.97,Z20,20,26,train
12L12D:Z21,12L12D,phyAB,48,9.272,Z21,21,26,train
12L12D:Z23,12L12D,phyAB,48,7.827,Z23,23,26,train
12L12D:Z24,12L12D,phyAB,48,9.452,Z24,24,26,train
12L12D:Z25,12L12D,phyAB,48,9.183,Z25,25,26,train
12L12D:Z26,12L12D,phyAB,48,9.254,Z26,26,26,train
12L12D:Z28,12L12D,phyAB,48,7.637,Z28,28,26,train
12L12D:Z30,12L12D,phyAB,48,9.078,Z30,30,26,train
12L12D:Z32,12L12D,phyAB,48,9.116,Z32,32,26,train
12L12D:Z34,12L12D,phyAB,48,8.55,Z34,34,26,train
12L12D:AA3,12L12D,Col-0,60,3.884,AA3,3,27,train
12L12D:AA6,12L12D,Col-0,60,3.201,AA6,6,27,train
12L12D:AA9,12L12D,Col-0,60,4.723,AA9,9,27,train
12L12D:AA10,12L12D,Col-0,60,4.952,AA10,10,27,train
12L12D:AA11,12L12D,Col-0,60,4.269,AA11,11,27,train
12L12D:AA12,12L12D,Col-0,60,6.377,AA12,12,27,train
12L12D:AA13,12L12D,Col-0,60,4.753,AA13,13,27,train
12L12D:AA14,12L12D,Col-0,60,4.464,AA14,14,27,train
12L12D:AA15,12L12D,Col-0,60,4.8,AA15,15,27,train
12L12D:AA16,12L12D,Col-0,60,5.375,AA16,16,27,train
12L12D:AA17,12L12D,Col-0,60,3.889,AA17,17,27,train
12L12D:AA23,12L12D,Col-0,60,4.132,AA23,23,27,train
12L12D:AA24,12L12D,Col-0,60,3.821,AA24,24,27,train
12L12D:AA26,12L12D,Col-0,60,3.856,AA26,26,27,train
12L12D:AA27,12L12D,Col-0,60,5.36,AA27,27,27,train
12L12D:AB3,12L12D,hy5,60,8.456,AB3,3,28,train
12L12D:AB5,12L12D,hy5,60,10.874,AB5,5,28,train
12L12D:AB6,12L12D,hy5,60,8.175,AB6,6,28,train
12L12D:AB7,12L12D,hy5,60,7.76,AB7,7,28,train
12L12D:AB8,12L12D,hy5,60,10.231,AB8,8,28,train
12L12D:AB12,12L12D,hy5,60,10.033,AB12,12,28,train
12L12D:AB14,12L12D,hy5,60,9.949,AB14,14,28,train
12L12D:AB15,12L12D,hy5,60,8.109,AB15,15,28,train
12L12D:AB16,12L12D,hy5,60,8.433,AB16,16,28,train
12L12D:AB18,12L12D,hy5,60,10.081,AB18,18,28,train
12L12D:AB19,12L12D,hy5,60,10.566,AB19,19,28,train
12L12D:AB20,12L12D,hy5,60,8.206,AB20,20,28,train
12L12D:AB21,12L12D,hy5,60,11.099,AB21,21,28,train
12L12D:AB27,12L12D,hy5,60,9.554,AB27,27,28,train
12L12D:AB28,12L12D,hy5,60,11.223,AB28,28,28,train
12L12D:AB30,12L12D,hy5,60,11.597,AB30,30,28,train
